id,prime_preds
300001.0,388.3086869457109
300002.0,259.6651960907717
300003.0,258.597827274322
300004.0,334.018120052274
300005.0,279.06566252152015
300006.0,447.7152418543849
300007.0,529.1582312983644
300008.0,196.86693958532993
300009.0,529.622428523364
300010.0,503.81335504660746
300011.0,286.2212236698131
300012.0,455.56063920572785
300013.0,278.2633720630654
300014.0,215.7562585572075
300015.0,376.1339343947727
300016.0,231.76020576804822
300017.0,249.445573954049
300018.0,407.0882152976583
300019.0,262.1686577092314
300020.0,505.5273125567417
300021.0,229.68607638170099
300022.0,422.4815392769743
300023.0,433.84848112067976
300024.0,341.1959126720651
300025.0,252.75851281539155
300026.0,274.5555800526185
300027.0,275.246316227248
300028.0,367.59506993131487
300029.0,236.72818796136045
300030.0,204.68145204567136
300031.0,400.35234174124264
300032.0,449.2466619459851
300033.0,289.0633919216952
300034.0,392.1949380338251
300035.0,366.65110861638254
300036.0,315.7451401753223
300037.0,157.56823487604063
300038.0,292.2919377612052
300039.0,258.7034472480449
300040.0,299.3736723070418
300041.0,340.24412519809454
300042.0,442.05903376154777
300043.0,265.2179700741588
300044.0,516.6685923407589
300045.0,373.72983438021987
300046.0,292.6769069365524
300047.0,327.2032365884587
300048.0,299.0283989728159
300049.0,304.4959686161962
300050.0,356.5188128528963
300051.0,284.484934632192
300052.0,390.8041009307623
300053.0,381.6769364381882
300054.0,382.68777101125164
300055.0,331.71594520538304
300056.0,419.0830763553547
300057.0,296.37785891147763
300058.0,381.98788848070353
300059.0,374.2872930696987
300060.0,277.7074275512416
300061.0,427.89782779124164
300062.0,237.90860519929637
300063.0,212.19978776752305
300064.0,340.0378450729578
300065.0,252.56613572255225
300066.0,200.85190348786318
300067.0,444.89510436856835
300068.0,362.90299864627957
300069.0,346.3604158123052
300070.0,357.12160111365574
300071.0,238.15831973980684
300072.0,421.585280011337
300073.0,322.7435918385546
300074.0,402.2199160131163
300075.0,285.1470498201625
300076.0,256.05549984344424
300077.0,290.6843841357346
300078.0,356.7929332270595
300079.0,309.1123112233384
300080.0,299.61691155309796
300081.0,286.9047631591659
300082.0,293.99785974730423
300083.0,365.0634524039283
300084.0,426.9145664916665
300085.0,182.73565851760276
300086.0,258.6519052394825
300087.0,305.8071001376154
300088.0,302.55706526754557
300089.0,295.9414494804656
300090.0,275.4175505269252
300091.0,428.86444821515556
300092.0,304.6084630367541
300093.0,122.4748665688837
300094.0,326.8028814059593
300095.0,261.00979232946975
300096.0,337.01323527629324
300097.0,289.7774145224876
300098.0,522.1798937141696
300099.0,381.390508095512
300100.0,333.60988948775747
