DecisionTreeAuto,ExtraTreesAuto,GradientBoostingAuto,RandomForestAuto,id
304.28833333333336,308.33207301587305,329.57508421565694,313.02112543012544,300001.0
233.2575,236.3221063492063,221.77814140323184,214.63676050061048,300002.0
252.02499999999998,274.67715555555554,278.01219328128093,267.93392222222224,300003.0
349.11555555555555,376.89687261904766,361.77453399168763,365.40373149255714,300004.0
306.08166666666665,321.0738607142857,295.31532538602124,316.5643691308692,300005.0
452.11,402.6417654761905,393.43139206826726,398.0341816441728,300006.0
415.0811111111111,434.3885357142857,430.7343907407027,421.02886375870855,300007.0
186.5633333333333,196.3067507936508,199.61893671947405,166.9287577512357,300008.0
540.2285714285715,553.2732496031747,581.3424475496554,558.1007686813188,300009.0
487.70666666666665,543.2223071428572,532.5447315656947,536.0564321428571,300010.0
286.52000000000004,277.4872765873016,262.5939876585386,287.9860381419235,300011.0
260.64142857142855,355.42095555555557,349.90806046736395,279.36183181818177,300012.0
171.994,227.34049007936505,242.84875906502108,229.2950364485188,300013.0
208.05222222222224,210.83756904761904,216.62935102101977,223.8905720182595,300014.0
457.24800000000005,379.8589777777778,393.1000076047063,389.9382269230769,300015.0
187.6,177.11068174603176,196.2627584549937,185.90625786435788,300016.0
297.0675,253.83024722222225,264.81355393296525,285.1487146103896,300017.0
469.8614285714286,486.0884861111111,497.2550219267984,494.64773571428566,300018.0
310.27833333333336,298.4845440476191,299.7467402995741,312.4044872550695,300019.0
453.16333333333336,467.2983666666667,477.4607145975527,422.942687912088,300020.0
190.67799999999997,214.0346416666667,224.3666850410231,214.7801525252525,300021.0
411.1625,386.23634603174605,375.1075320947652,405.3186565268065,300022.0
364.13666666666666,396.8831678571428,400.83732905305595,383.0513567765568,300023.0
378.216,350.3285567460318,354.74445601184846,345.3010591269841,300024.0
327.43375,304.0830523809524,303.9319329094083,310.5452402194211,300025.0
239.49375000000003,235.41368412698412,239.04180672949744,222.4276301892552,300026.0
299.38666666666666,276.31615555555555,294.42301673358355,287.35312439227437,300027.0
374.295,396.50665515873015,395.5268660231736,391.2997657564657,300028.0
276.78999999999996,268.4200142857143,285.88519288039805,258.9239068931069,300029.0
219.20833333333334,222.1311968253968,232.8266745671478,218.41519780219784,300030.0
408.07222222222225,427.20815753968253,398.0254096664594,405.6501347402598,300031.0
409.53000000000003,419.4742944444444,430.29518014468573,429.3001124431124,300032.0
289.47875000000005,252.66078134920636,287.6232660086091,283.276330952381,300033.0
374.295,417.42612976190475,405.92766183532035,421.1136298840048,300034.0
332.21799999999996,371.4875063492064,360.1218462237885,360.2250588023088,300035.0
323.55555555555554,284.1100813492063,307.5712351088733,316.1631366910867,300036.0
168.51250000000002,157.30710357142857,153.93581729411537,168.14522485847482,300037.0
320.498,311.59094960317464,337.0067366033004,328.78254004329006,300038.0
155.238,212.5526158730159,220.19818401321348,203.00088073593074,300039.0
212.77333333333328,218.97867261904761,208.21190841105008,203.85931666666664,300040.0
315.48,331.58597499999996,342.79533697915906,318.27662637362636,300041.0
525.2283333333334,547.431990079365,504.71219967814545,514.104663510101,300042.0
289.115,268.00227738095236,280.0640307332864,248.40425096570098,300043.0
395.4800000000001,416.27097936507937,459.43608817364924,446.98628997669005,300044.0
286.448,261.418169047619,260.1392770192472,259.98554290986783,300045.0
308.83599999999996,299.6790507936508,309.7705470538095,314.5336110778111,300046.0
297.692,276.56982936507933,280.7561784974071,263.2809283189033,300047.0
225.1614285714286,246.68936547619052,239.7698723700127,225.6815087301587,300048.0
381.972,384.04069603174605,372.15712693645816,385.18639494390203,300049.0
227.61599999999999,264.1565888888889,264.54033530851643,257.9015265648567,300050.0
352.14000000000004,313.7104499999999,331.40464347649504,318.14490150127654,300051.0
264.95799999999997,290.03422539682543,290.282434725651,297.08418817016315,300052.0
347.1816666666667,300.2338666666666,308.4481956599235,300.58181757164414,300053.0
397.10625000000005,355.00069047619047,332.8671827587455,356.5829531746032,300054.0
304.21375,325.19700158730154,305.79917823184655,318.1558676767677,300055.0
445.7957142857143,305.5590837301587,375.06305613216796,347.60372096653344,300056.0
334.72,284.1074750000001,309.0663366880844,282.5735867243867,300057.0
